id,env,block,vine.maturity,skin.maturity
W15267-164R,2018,1,7,3.17
AFW6054-7R,2017,1,6,3.08
W15268-180R,2018,1,9,3.08
AFW6052-35R,2017,3,6,3.03
W15268-138R,2018,4,9,2.95
W10209-7R,2017,1,8,2.93
AFW6050-4R,2018,3,9,2.89
W15267-30R,2018,2,9,2.87
W14133-46R,2018,2,7,2.83
W15267-89R,2018,2,7,2.82
AFW6041-9R,2018,4,6,2.77
AFW6052-23R,2017,1,3,2.75
W15267-3R,2018,2,9,2.73
W10209-7R,2017,3,5,2.65
W15267-203R,2018,4,9,2.64
W15264-1R,2018,2,9,2.64
W15263-86R,2018,2,8,2.61
W15267-37R,2018,1,8,2.6
W14133-14R,2017,1,6,2.6
RedPrairie,2018,4,6,2.59
AFW6051-1R,2017,1,5,2.55
AFW6041-12R,2017,3,6,2.54
Chieftain,2018,1,8,2.52
AFW6050-4R,2017,1,5,2.52
W15267-89R,2018,2,8,2.51
W15268-175R,2018,4,4,2.51
W14133-47R,2017,2,5,2.49
W15268-7R,2018,2,8,2.49
W14138-54R,2017,2,8,2.49
W15277-19R,2018,4,9,2.46
AFW6041-4R,2017,2,4,2.46
AFW6041-6R,2017,3,5,2.46
W15263-80R,2018,1,8,2.44
W15277B-22R,2018,2,8,2.42
AFW6041-6R,2018,2,5,2.42
Chieftain,2018,2,9,2.41
W15267-209R,2018,2,4,2.38
W15268-228R,2018,2,9,2.37
AFW6041-7R,2017,3,7,2.36
AFW6050-2R,2017,2,5,2.34
W14133-29R,2018,1,6,2.34
AFW6050-24R,2017,1,8,2.34
W15268-112R,2018,2,9,2.33
AFW6054-8R,2018,4,8,2.33
W15277-11R,2018,2,9,2.32
W10209-7R,2017,2,7,2.31
W15262-2R,2018,4,8,2.29
AFW6041-4R,2018,1,7,2.28
W15267-24R,2018,4,6,2.27
W14133-17R,2017,3,6,2.26
W15263-10R,2018,1,7,2.26
W15267-84R,2018,4,7,2.25
W15267-99R,2018,1,4,2.23
W15267-113R,2018,3,9,2.23
AFW6050-23R,2018,4,5,2.23
W14138-33R,2017,1,2,2.22
W14141-3R,2017,1,6,2.21
W15267-218R,2018,3,5,2.21
W15267-34R,2018,4,8,2.21
W15277-29R,2018,2,7,2.21
W15268-110R,2018,4,9,2.2
W14133-45R,2017,1,7,2.19
W14138-55R,2017,3,5,2.19
W15268-111R,2018,4,5,2.17
AFW6039-3R,2017,3,8,2.17
W14133-27R,2017,1,7,2.17
W15268-26R,2018,2,9,2.17
W15267-66R,2018,1,7,2.16
W14133-37R,2018,3,8,2.15
RedLaSoda10,2017,3,3,2.15
W15267-201R,2018,4,9,2.15
AFW6052-13R,2017,1,2,2.15
Chieftain,2018,4,6,2.15
W15268-16R,2018,2,5,2.15
W15268-4R,2018,2,8,2.14
RedPrairie,2018,2,6,2.11
W15267-132R,2018,1,6,2.11
W15267-16R,2018,4,4,2.1
W15267-53R,2018,1,7,2.07
W14138-6R,2017,1,3,2.06
W15268-141R,2018,3,6,2.06
W15277-580R,2018,1,7,2.06
W14141-1R,2017,2,7,2.05
W15262-4R,2018,1,9,2.05
AFW6039-4R,2018,4,5,2.05
W15267-192R,2018,2,6,2.04
W15277B-15R,2018,3,8,2.04
W15267-71R,2018,2,6,2.03
AFW6052-14R,2017,3,5,2.02
W15277-1R,2018,3,8,2.02
W15268-205R,2018,4,9,2.01
AFW6050-7R,2017,1,6,2
AFW6052-33R,2017,3,3,2
W15268-200R,2018,2,7,1.98
W15268-49R,2018,2,9,1.98
AFW6045-9R,2017,2,5,1.98
W15267-170R,2018,2,8,1.98
AFW6039-1R,2017,3,6,1.97
W15277-13R,2018,3,8,1.97
W15267-216R,2018,4,4,1.97
W15268-24R,2018,3,9,1.97
W14138-17R,2017,2,6,1.96
W14133-46R,2017,3,7,1.96
W15268-12R,2018,1,9,1.96
W14133-21R,2017,1,4,1.95
W15277-26R,2018,2,7,1.94
W8893-1R,2018,4,2,1.94
W14138-54R,2018,3,7,1.94
W15267-80R,2018,4,7,1.93
W15268-130R,2018,1,9,1.92
AFW6052-40R,2017,2,5,1.91
Chieftain,2018,3,7,1.9
RedLaSoda10,2018,1,7,1.9
AFW6051-1R,2018,3,5,1.9
W15264-18R,2018,4,4,1.9
W15267-116R,2018,3,6,1.9
AFW6039-4R,2017,1,4,1.89
W15268-137R,2018,3,9,1.88
W15262-3R,2018,3,7,1.87
W15267-174R,2018,3,9,1.87
W15267-19R,2018,1,8,1.87
W14141-14R,2017,1,5,1.86
AFW6045-11R,2017,3,6,1.84
W15268-174R,2018,2,9,1.83
RedLaSoda10,2017,2,4,1.82
AFW6052-22R,2017,1,2,1.82
W15268-209R,2018,4,9,1.81
W15268-226R,2018,4,7,1.81
AFW6050-26R,2017,2,4,1.81
AFW6052-3R,2017,2,5,1.8
RedEndeavor,2017,3,5,1.8
AFW6039-5R,2017,1,3,1.78
W15263-70R,2018,1,5,1.78
W15267-59R,2018,3,4,1.78
W15268-97R,2018,3,7,1.78
W14138-34R,2017,1,7,1.78
W15267-204R,2018,1,8,1.78
RedPrairie,2018,3,6,1.77
W14141-2R,2017,3,6,1.77
RedLaSoda10,2018,2,5,1.76
W15267-60R,2018,1,6,1.76
W14138-37R,2017,1,3,1.76
AFW6052-31R,2018,1,2,1.76
W15268-185R,2018,2,9,1.75
AFW6052-25R,2017,1,5,1.75
W15268-176R,2018,1,8,1.75
W14138-22R,2017,2,9,1.75
W15267-21R,2018,4,9,1.75
W15268-29R,2018,3,6,1.74
W15263-38R,2018,3,5,1.73
W15268-197R,2018,2,8,1.73
W15268-63R,2018,1,9,1.73
W15267-2R,2018,3,8,1.73
W15277B-10R,2018,4,7,1.73
W14141-11R,2017,3,4,1.72
W15261-11R,2018,2,6,1.71
W15267-183R,2018,3,6,1.71
AFW6054-4R,2017,3,5,1.71
AFW6045-10R,2017,3,7,1.7
W14133-32R,2017,3,4,1.7
W15267-127R,2018,3,6,1.68
AFW6041-3R,2017,2,4,1.68
AFW6052-39R,2017,1,4,1.68
W15267-197R,2018,3,8,1.67
W15261-4R,2018,2,8,1.67
AFW6041-9R,2017,1,7,1.66
W15261-16R,2018,4,7,1.66
W15267-172R,2018,3,6,1.66
W15263-64R,2018,3,8,1.66
RedPrairie,2017,3,6,1.65
W14138-57R,2017,1,3,1.65
W8893-1R,2018,3,2,1.65
W14138-47R,2017,3,3,1.65
AFW6041-2R,2017,1,3,1.65
W15277B-54R,2018,2,8,1.65
AFW6052-29R,2017,1,2,1.65
W14138-1R,2017,3,6,1.64
W14133-4R,2017,2,5,1.64
W15268-122R,2018,3,7,1.63
W15268-95R,2018,2,9,1.63
W14138-12R,2017,2,5,1.63
W15267-34R,2018,3,7,1.63
W14138-48R,2017,1,5,1.63
W15263-45R,2018,4,6,1.62
W15268-229R,2018,2,7,1.61
W15267-43R,2018,4,9,1.61
W14138-57R,2018,2,7,1.61
W15267-199R,2018,2,9,1.61
W15268-18R,2018,1,8,1.6
W15277-21R,2018,4,3,1.6
W14138-14R,2017,2,4,1.6
W15267-140R,2018,4,9,1.6
W15277B-6R,2018,3,5,1.6
W15263-74R,2018,4,5,1.6
AFW6045-2R,2017,1,4,1.6
W15277B-18R,2018,4,5,1.59
W15268-93R,2018,1,9,1.59
W15268-21R,2018,4,5,1.58
W15264-7R,2018,2,6,1.58
W15268-173R,2018,3,7,1.58
W15277B-51R,2018,2,5,1.57
W14133-9R,2017,2,4,1.56
W15267-180R,2018,4,4,1.56
AFW6052-40R,2018,1,7,1.56
W14133-29R,2017,3,2,1.56
W15277B-32R,2018,4,6,1.55
RedLaSoda10,2018,3,6,1.55
W15263-29R,2018,4,4,1.55
W8893-1R,2018,2,2,1.54
AFW6052-10R,2017,3,4,1.53
W15261-23R,2018,1,3,1.53
AFW6052-31R,2017,2,4,1.52
AFW6054-10R,2017,2,5,1.52
W15263-33R,2018,1,8,1.52
W10209-2R,2018,1,2,1.52
W14138-38R,2017,2,5,1.52
W15268-196R,2018,1,3,1.51
W14141-6R,2017,1,4,1.51
W15267-217R,2018,4,3,1.51
W15277B-43R,2018,2,8,1.51
W15261-26R,2018,1,6,1.5
W15267-146R,2018,1,9,1.5
W15267-117R,2018,1,9,1.5
AFW6054-7R,2018,2,7,1.5
W15268-213R,2018,4,7,1.5
W15267-62R,2018,2,5,1.5
W15277-2R,2018,4,5,1.5
W15267-104R,2018,3,6,1.49
W14141-5R,2017,2,5,1.48
W15277B-56R,2018,2,5,1.48
W15267-27R,2018,3,8,1.48
AFW6051-4R,2017,3,6,1.47
W14138-56R,2017,3,5,1.47
W15263-5R,2018,2,7,1.47
W14133-22R,2017,3,5,1.46
W15277-15R,2018,3,5,1.45
W15263-84R,2018,4,5,1.45
W15277B-39R,2018,2,9,1.45
W14133-38R,2017,3,4,1.44
AFW6050-20R,2017,2,2,1.44
W15267-105R,2018,3,9,1.44
W15268-119R,2018,1,4,1.44
W15261-22R,2018,2,1,1.43
W15268-166R,2018,4,8,1.43
AFW6039-1R,2018,4,6,1.43
RedLaSoda10,2018,4,6,1.43
W15267-100R,2018,1,8,1.43
W14133-44R,2017,2,5,1.43
W14133-49R,2017,2,4,1.43
W15267-22R,2018,3,7,1.42
AFW6052-42R,2017,3,6,1.42
W15277B-41R,2018,3,6,1.42
W14133-36R,2017,2,5,1.41
W15267-122R,2018,3,4,1.41
W15268-114R,2018,3,5,1.41
W15268-57R,2018,3,6,1.41
W15277B-50R,2018,1,8,1.41
AFW6039-3R,2018,4,6,1.4
W15267-95R,2018,3,6,1.4
AFW6041-11R,2017,1,1,1.4
W15268-31R,2018,4,9,1.4
AFW6052-31R,2017,2,3,1.39
W15263-19R,2018,4,8,1.39
DarkRedNorland,2017,3,4,1.37
W14133-28R,2018,4,3,1.37
W14141-16R,2017,3,5,1.37
W15267-190R,2018,2,6,1.36
W14133-41R,2017,1,2,1.36
W14138-5R,2017,3,4,1.36
W15268-121R,2018,2,4,1.36
RedPrairie,2018,1,8,1.35
W14138-53R,2017,1,4,1.35
RedLaSoda10,2017,1,3,1.35
W14133-28R,2017,2,3,1.34
W15267-48R,2018,3,8,1.34
W15268-118R,2018,4,8,1.34
W8893-1R,2018,1,1,1.34
W15264-12R,2018,3,5,1.34
W14133-16R,2017,3,5,1.34
W14138-48R,2018,4,7,1.34
W14138-13R,2017,1,4,1.33
W15277B-40R,2018,2,4,1.33
W15263-1R,2018,2,2,1.33
W15267-13R,2018,4,5,1.33
AFW6039-7R,2018,2,4,1.32
W15277-20R,2018,4,6,1.32
W15277-7R,2018,4,9,1.32
W14138-56R,2018,4,8,1.32
W15277B-2R,2018,4,3,1.32
AFW6051-2R,2017,2,8,1.31
W14138-13R,2018,3,4,1.31
W15277B-13R,2018,2,8,1.3
RedPrairie,2017,2,5,1.3
W15268-153R,2018,2,8,1.3
W15268-34R,2018,4,4,1.3
W15268-47R,2018,2,4,1.3
W15267-64R,2018,1,4,1.3
W14138-59R,2017,1,2,1.3
W15267-180R,2018,1,5,1.29
W15263-85R,2018,2,8,1.29
W15267-126R,2018,2,7,1.28
W15267-153R,2018,4,8,1.28
W14133-5R,2017,1,3,1.28
W15277B-36R,2018,4,4,1.28
AFW6039-7R,2017,2,3,1.27
W15267-196R,2018,4,3,1.27
W15268-125R,2018,3,8,1.27
AFW6052-34R,2017,3,2,1.26
AFW6051-2R,2018,1,9,1.26
W15267-207R,2018,2,4,1.25
W14133-23R,2017,1,4,1.25
W15267-148R,2018,4,5,1.24
W15264-3R,2018,3,5,1.24
W15268-79R,2018,1,6,1.24
W15264-8R,2018,3,7,1.23
W15267-55R,2018,3,5,1.23
AFW6052-38R,2018,3,2,1.23
W15261-13R,2018,3,6,1.23
W14133-27R,2018,2,4,1.23
W15263-82R,2018,4,3,1.23
W15268-188R,2018,2,5,1.22
W15277B-53R,2018,4,3,1.22
W15277-24R,2018,4,3,1.22
W15267-143R,2018,1,9,1.22
W15267-195R,2018,4,5,1.22
W15268-68R,2018,3,5,1.22
AFW6045-5R,2017,2,2,1.21
DarkRedNorland,2017,1,1,1.21
W15277-3R,2018,4,7,1.21
W14138-15R,2017,1,4,1.21
W15268-158R,2018,3,4,1.21
DarkRedNorland,2017,2,1,1.21
W15267-227R,2018,2,5,1.2
W15267-116R,2018,3,6,1.2
W15267-31R,2018,4,4,1.2
W15267-63R,2018,3,4,1.2
W15263-12R,2018,3,7,1.19
W15263-12R,2018,1,4,1.19
W15267-145R,2018,3,3,1.19
W15268-41R,2018,2,8,1.19
W14133-35R,2017,3,7,1.18
AFW6039-8R,2017,3,3,1.18
AFW6050-23R,2017,2,4,1.17
W15267-56R,2018,4,3,1.17
W14133-37R,2017,1,5,1.17
W15267-50R,2018,2,7,1.16
W15263-34R,2018,3,2,1.16
W8890-1R,2017,3,2,1.16
W10209-2R,2017,1,2,1.16
W14138-25R,2017,1,2,1.15
W15267-147R,2018,4,4,1.15
W15261-2R,2018,4,9,1.15
W15262-6R,2018,4,5,1.15
W15263-11R,2018,1,2,1.15
W14138-50R,2017,2,4,1.15
W15267-87R,2018,2,8,1.15
W15277-30R,2018,4,6,1.15
W15268-88R,2018,4,6,1.14
W14138-58R,2017,2,5,1.14
W14138-8R,2017,2,5,1.14
W15267-38R,2018,4,3,1.14
W15268-216R,2018,3,4,1.13
W15268-56R,2018,2,6,1.13
AFW6045-12R,2017,3,5,1.13
W8890-1R,2017,2,4,1.13
AFW6052-12R,2017,2,5,1.12
W15267-86R,2018,1,9,1.12
W15268-159R,2018,3,9,1.12
AFW6050-18R,2017,2,2,1.11
W15268-156R,2018,3,4,1.11
W15263-50R,2018,1,6,1.11
W15264-9R,2018,3,5,1.11
W15264-11R,2018,3,6,1.1
W15268-65R,2018,3,5,1.1
W14141-7R,2018,3,5,1.09
W15277B-17R,2018,4,3,1.09
W14138-44R,2018,4,3,1.09
W14133-44R,2018,3,7,1.09
W15267-92R,2018,1,4,1.09
W15277-14R,2018,3,1,1.09
W14141-4R,2018,4,8,1.09
W15267-7R,2018,1,1,1.09
AFW6039-2R,2017,2,5,1.08
W14138-36R,2017,1,2,1.08
W15267-11R,2018,3,9,1.08
W15263-81R,2018,3,4,1.08
W15267-121R,2018,1,7,1.08
W15267-75R,2018,2,6,1.08
RedPrairie,2017,1,6,1.08
W15267-74R,2018,4,4,1.07
W10209-2R,2017,3,5,1.07
W15277B-61R,2018,2,3,1.06
W15268-19R,2018,1,9,1.06
W15268-232R,2018,1,9,1.06
W14141-6R,2018,4,4,1.06
W14133-11R,2017,1,6,1.06
W14133-35R,2018,3,6,1.06
W15268-6R,2018,3,9,1.05
W15268-117R,2018,1,6,1.05
W15268-36R,2018,1,7,1.05
W15277-32R,2018,1,4,1.05
W15277B-1R,2018,4,5,1.05
W15268-116R,2018,2,9,1.05
W15267-45R,2018,1,7,1.04
W14138-58R,2018,1,7,1.04
W15277B-30R,2018,4,8,1.04
W15268-198R,2018,4,5,1.03
W15263-31R,2018,4,4,1.03
W15267-72R,2018,1,4,1.03
W15268-8R,2018,1,3,1.03
W15268-51R,2018,2,5,1.03
W15277B-37R,2018,4,5,1.03
AFW6052-28R,2017,3,3,1.03
W15268-91R,2018,4,6,1.02
W15268-104R,2018,3,4,1.02
AFW6045-1R,2017,3,2,1.02
W15277B-60R,2018,2,2,1.02
W15267-176R,2018,3,6,1.02
W15277B-33R,2018,2,6,1.01
W15267-35R,2018,3,5,1.01
W14141-15R,2017,2,6,1.01
W15267-46R,2018,1,8,1.01
W15267-171R,2018,4,2,1.01
W15267-77R,2018,4,4,1
W15267-212R,2018,1,4,1
W15261-20R,2018,1,7,0.99
W15268-231R,2018,2,2,0.99
W15263-78R,2018,3,5,0.99
W15268-6R,2018,1,6,0.98
AFW6052-9R,2017,3,1,0.98
AFW6041-2R,2018,1,7,0.97
W15268-17R,2018,4,5,0.97
W15267-186R,2018,4,2,0.97
W15268-77R,2018,2,5,0.97
W15277B-14R,2018,2,8,0.97
W15267-202R,2018,3,8,0.97
W15267-205R,2018,4,5,0.97
W15268-109R,2018,1,6,0.96
W15268-203R,2018,3,5,0.96
W14141-7R,2017,2,3,0.96
W15277B-8R,2018,3,6,0.96
AFW6052-4R,2017,2,3,0.96
RedEndeavor,2017,1,3,0.96
W15263-42R,2018,4,4,0.95
W15277-25R,2018,3,3,0.95
W14133-20R,2017,3,4,0.94
RedEndeavor,2017,2,5,0.94
W15267-81R,2018,4,3,0.94
W15277B-62R,2018,3,8,0.94
W15267-12R,2018,1,1,0.94
W15277B-12R,2018,3,3,0.94
W15263-36R,2018,1,5,0.93
W10209-2R,2018,4,3,0.92
W15277B-29R,2018,2,8,0.92
AFW6052-38R,2017,1,3,0.92
W15267-79R,2018,1,3,0.92
W15277-3R,2018,1,7,0.92
W15267-110R,2018,3,6,0.92
W14138-49R,2017,3,5,0.92
W15268-148R,2018,3,7,0.91
W15268-127R,2018,3,3,0.91
W15268-107R,2018,4,5,0.9
W15263-65R,2018,4,3,0.9
W15277B-20R,2018,2,5,0.9
W15268-139R,2018,3,5,0.9
W15267-10R,2018,2,7,0.89
W15268-235R,2018,2,8,0.89
W15268-5R,2018,2,8,0.89
W15263-18R,2018,1,2,0.88
W15261-6R,2018,2,5,0.88
W15267-136R,2018,3,7,0.88
W15268-221R,2018,4,5,0.88
AFW6051-4R,2018,4,7,0.87
W15267-157R,2018,2,4,0.87
W15268-132R,2018,2,9,0.87
W14138-44R,2017,1,4,0.87
AFW6039-8R,2018,3,4,0.86
W15268-224R,2018,2,4,0.85
W15267-142R,2018,3,6,0.85
W15267-219R,2018,1,1,0.84
W15261-24R,2018,2,4,0.83
W15267-222R,2018,2,5,0.83
W15263-43R,2018,4,8,0.83
W15267-226R,2018,4,5,0.83
W15263-41R,2018,1,3,0.83
W15267-20R,2018,2,6,0.82
W15268-142R,2018,1,9,0.82
W15268-186R,2018,1,2,0.82
AFW6054-8R,2017,1,1,0.81
W15268-187R,2018,3,6,0.81
W14141-20R,2017,3,3,0.81
W15268-73R,2018,3,4,0.81
W15268-85R,2018,2,6,0.8
W15267-93R,2018,1,5,0.79
W15267-187R,2018,1,9,0.79
W10209-2R,2017,2,1,0.79
W15267-131R,2018,1,8,0.78
W15268-164R,2018,3,5,0.78
W14138-53R,2018,2,4,0.77
W15268-32R,2018,4,5,0.77
W15267-213R,2018,2,3,0.77
W15267-17R,2018,3,2,0.76
W15263-7R,2018,4,7,0.75
W14141-19R,2018,1,4,0.75
W15263-8R,2018,3,4,0.75
W15268-237R,2018,1,2,0.75
W15267-149R,2018,3,6,0.74
W15268-161R,2018,4,5,0.74
W15268-195R,2018,2,9,0.74
W15267-154R,2018,3,3,0.74
W15264-5R,2018,1,5,0.73
W15263-75R,2018,3,4,0.73
W15277B-52R,2018,1,5,0.73
W15263-60R,2018,3,4,0.73
W15263-42R,2018,2,5,0.72
W15263-25R,2018,2,2,0.72
W15277B-44R,2018,3,3,0.72
W15268-171R,2018,1,7,0.72
W15277B-11R,2018,2,1,0.71
W15268-551R,2018,1,5,0.71
W15263-16R,2018,1,5,0.71
W15267-98R,2018,2,3,0.7
W15268-212R,2018,1,8,0.7
W15267-182R,2018,3,3,0.7
W15264-6R,2018,2,4,0.7
RedNorland,2017,3,2,0.69
W15261-551R,2018,4,9,0.69
W15263-55R,2018,3,6,0.68
W15277-34R,2018,1,1,0.68
W15267-114R,2018,4,4,0.68
AFW6045-8R,2017,2,2,0.68
W15277B-38R,2018,3,4,0.68
W15267-6R,2018,1,2,0.67
W15261-25R,2018,1,7,0.67
W15268-76R,2018,3,4,0.67
W15267-85R,2018,3,3,0.67
W15267-177R,2018,4,3,0.67
W15263-87R,2018,3,4,0.66
W15277B-59R,2018,4,4,0.66
W15268-184R,2018,1,6,0.65
W15267-102R,2018,1,6,0.65
W15261-18R,2018,3,5,0.65
W15268-9R,2018,1,9,0.64
W15263-46R,2018,3,9,0.64
W15261-1R,2018,3,8,0.63
W15268-190R,2018,4,5,0.63
W15268-20R,2018,4,6,0.63
W15261-27R,2018,4,8,0.63
W15267-224R,2018,3,6,0.63
W15267-223R,2018,2,1,0.62
W14141-5R,2018,2,3,0.62
W15268-78R,2018,1,8,0.62
W15263-76R,2018,4,3,0.61
W15267-193R,2018,4,8,0.61
W15264-17R,2018,2,9,0.61
DarkRedNorland,2018,3,4,0.61
W15268-134R,2018,3,1,0.61
W15268-192R,2018,2,9,0.61
W15268-189R,2018,2,4,0.6
RedNorland,2017,2,1,0.6
W15261-21R,2018,4,5,0.59
W15267-111R,2018,1,4,0.59
W14133-11R,2018,2,6,0.58
W15263-42R,2018,2,5,0.58
W15263-57R,2018,2,5,0.57
W15268-201R,2018,2,4,0.57
W15261-3R,2018,1,3,0.57
W15268-90R,2018,1,4,0.57
W15268-151R,2018,3,8,0.57
W15268-48R,2018,1,4,0.57
W15267-150R,2018,1,5,0.56
W15267-88R,2018,3,5,0.56
W15268-67R,2018,4,4,0.56
W15268-61R,2018,1,4,0.56
W15277B-9R,2018,4,6,0.56
W15268-99R,2018,3,4,0.56
W15277B-31R,2018,1,1,0.56
RedNorland,2017,1,1,0.56
W15267-61R,2018,3,7,0.56
W15277B-49R,2018,1,2,0.55
W15268-106R,2018,3,6,0.54
W15264-10R,2018,1,6,0.54
W15268-123R,2018,4,4,0.52
W15267-73R,2018,4,7,0.52
W15268-210R,2018,1,4,0.52
W15267-41R,2018,2,3,0.51
W15267-57R,2018,4,4,0.51
W15267-82R,2018,3,5,0.51
W15267-161R,2018,1,5,0.51
W15277-12R,2018,1,5,0.51
W15263-56R,2018,2,8,0.5
DarkRedNorland,2018,1,2,0.49
W14141-16R,2018,3,6,0.49
W15268-87R,2018,4,5,0.49
W15268-30R,2018,4,5,0.49
W14141-19R,2017,3,1,0.49
W15267-67R,2018,4,3,0.49
W15267-65R,2018,2,6,0.49
W15277B-19R,2018,4,2,0.49
W15267-173R,2018,2,4,0.48
W15267-159R,2018,3,5,0.48
W15268-147R,2018,2,4,0.48
W15268-28R,2018,2,5,0.47
W15268-13R,2018,2,8,0.47
W15267-138R,2018,3,4,0.47
W15267-220R,2018,3,4,0.47
W15267-32R,2018,1,8,0.46
W15268-115R,2018,2,2,0.46
W14133-12R,2017,2,6,0.46
W15277B-42R,2018,1,7,0.46
W15268-162R,2018,4,6,0.45
W15261-7R,2018,1,6,0.45
W15268-182R,2018,1,5,0.44
W10209-2R,2018,2,3,0.43
W15268-102R,2018,1,9,0.43
W15277B-5R,2018,1,6,0.43
W14133-49R,2018,3,3,0.43
W15277B-48R,2018,2,4,0.43
W15267-189R,2018,2,4,0.41
W14133-20R,2018,3,3,0.41
W15268-146R,2018,2,7,0.41
W15261-18R,2018,3,4,0.41
W15277B-57R,2018,3,4,0.4
W15268-218R,2018,3,6,0.4
W15268-129R,2018,4,6,0.4
W14141-17R,2017,2,1,0.4
W15261-12R,2018,1,7,0.4
W15267-129R,2018,2,1,0.39
W15277B-58R,2018,1,5,0.39
W15267-200R,2018,1,4,0.39
W15263-71R,2018,1,1,0.38
W15268-136R,2018,4,2,0.38
W15268-96R,2018,2,3,0.38
DarkRedNorland,2018,4,4,0.37
W15263-7R,2018,4,6,0.37
W15268-74R,2018,2,2,0.37
W15268-183R,2018,1,4,0.37
W15267-133R,2018,3,4,0.37
W15267-163R,2018,3,4,0.36
W14141-15R,2018,1,3,0.36
W15263-63R,2018,1,3,0.36
W15268-214R,2018,1,4,0.35
W10209-2R,2018,3,3,0.35
W15267-162R,2018,4,3,0.34
W14141-8R,2017,2,4,0.34
W15268-179R,2018,1,2,0.33
W15268-89R,2018,2,2,0.32
AFW6045-8R,2018,1,1,0.31
W15267-139R,2018,2,7,0.31
W15277-31R,2018,2,4,0.31
W14133-16R,2018,1,4,0.31
W15268-193R,2018,1,5,0.31
W15268-33R,2018,2,5,0.31
W15268-190R,2018,3,5,0.29
RedNorland,2018,4,3,0.28
W15263-39R,2018,2,1,0.28
W15268-103R,2018,4,5,0.28
W15267-40R,2018,2,3,0.28
W15268-39R,2018,3,3,0.28
W15268-124R,2018,1,5,0.27
W15267-97R,2018,1,3,0.27
W15268-13R,2018,1,4,0.26
W15262-1R,2018,2,5,0.26
W15267-137R,2018,3,2,0.26
W14141-4R,2017,3,5,0.25
W15268-97R,2018,4,5,0.25
W15267-160R,2018,1,4,0.24
W14133-12R,2018,4,6,0.23
W15268-82R,2018,1,6,0.23
W15268-101R,2018,1,8,0.22
W15268-42R,2018,2,2,0.22
RedNorland,2018,3,4,0.22
W15268-220R,2018,1,3,0.21
W15268-108R,2018,4,5,0.21
W15277-9R,2018,1,1,0.21
W15277B-47R,2018,1,4,0.21
W15268-27R,2018,1,4,0.2
W15268-152R,2018,3,6,0.18
W15268-80R,2018,3,5,0.18
W15263-2R,2018,2,6,0.16
DarkRedNorland,2018,2,3,0.15
W15264-16R,2018,2,9,0.14
W15267-115R,2018,1,2,0.13
W15267-101R,2018,2,4,0.12
W15261-14R,2018,2,3,0.12
W15268-83R,2018,4,5,0.12
W15267-51R,2018,4,4,0.12
W15267-165R,2018,1,2,0.1
W15277B-16R,2018,4,2,0.1
W15267-214R,2018,2,1,0.1
W15267-90R,2018,3,1,0.08
W15261-15R,2018,3,5,0.08
W15277-4R,2018,1,9,0.08
W15268-204R,2018,2,6,0.08
W15267-70R,2018,3,4,0.07
W15268-53R,2018,3,1,0.07
RedNorland,2018,1,2,0.02
RedNorland,2018,2,2,0.02
W15267-26R,2018,4,5,0.01